sample_accession	text	tag
SAMEA9449798	ASG 099d64a6 1e0a 47d6 bd18 ceddb574696f asg 099d64a6 1e0a 47d6 bd18 ceddb574696f asg Fragum fragum   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN46214623	 Model organism or animal sample from Sebastes fasciatus Model organism or animal sample from Sebastes fasciatus Sebastes fasciatus   	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN50687980	 Metagenome or environmental sample from coral metagenome Metagenome or environmental sample from coral metagenome coral metagenome   	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN03176900	 Keywords: GSC:MIxS MIGS:5.0 MIGS Cultured Bacterial/Archaeal sample from Vibrio renipiscarius Vibrio renipiscarius mediterranean sea biome fish farm missing	pathogen:bacterium;env_tax:marine;env_geo;pathogen;env_tax;env_geo:marine
SAMN13032864	 Keywords: GSC:MIxS MIMARKS:5.0 MIMARKS Specimen sample from estuary metagenome estuary metagenome estuarine biome channel estuarine water	env_tax:marine;env_geo;env_geo:coastal;env_tax:brackish;env_tax;env_geo:freshwater;env_geo:marine
SAMEA4835134	 Coral Tissue from Acropora hyacinthus sampled from Great Barrier Reef   Central Sector, Australia as sample E3.6.Acr.hyac.3F.20150105.T of the Global Coral Microbiome Project Coral Tissue coral metagenome coral reef coral Coral Tissue organic material	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN21529022	 Keywords: GSC:MIxS MIMS:5.0 MIMS Environmental/Metagenome sample from marine metagenome marine metagenome ocean offshore offshore sea water	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN36800453	 CHM xchm96xx023 CHM xchm96xx023 Oncorhynchus kisutch   	env_tax:marine;env_geo;env_geo:coastal;env_tax:freshwater;env_tax:brackish;env_tax;env_geo:marine
SAMEA11188413	Biosynthetic potential of the global ocean microbiome metagenomic bin from biosample SAMEA2620570 TARA SAMEA2620570 METAG ADNEIICE marine metagenome Ocean water Ocean water Ocean water	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN16282094	 Keywords: GSC:MIxS MIGS:5.0 MIGS Eukaryotic sample from Scophthalmus maximus Scophthalmus maximus North East Atlantic  Sea water	env_tax:marine;env_geo;env_geo:coastal;env_tax:brackish;env_tax;env_geo:marine
SAMN31261178	 Keywords: GSC:MIxS MIMARKS:6.0 MIMARKS Survey related sample from marine sediment metagenome marine sediment metagenome marine sediment biome marine sediment sediment	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN07178300	 Metagenome or environmental sample from seawater metagenome Metagenome or environmental sample from seawater metagenome seawater metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN06240273	 Keywords: GSC:MIxS MIMS:5.0 MIMS Environmental/Metagenome sample from marine sediment metagenome marine sediment metagenome marine ridge flank sediment	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN10088822	 Metagenome or environmental sample from coral metagenome Metagenome or environmental sample from coral metagenome coral metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN33266600	 SP 16S 1 14 SP 16S 1 14 seawater metagenome   	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN20111740	 Keywords: GSC:MIxS MIMARKS:5.0 MIMARKS Survey related sample from marine metagenome marine metagenome marine biome coral reef coral tissue	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMD01689864	 14 16S S2312 Noto 14 16S S2312 Noto s8 marine sediment metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA115762980	 This marine metagenome sample was collected during campaign CPR Brazil South Africa line on date/time 2022 07 10T20:15:30Z, at location 27.0964 S 37.249 W and depth (m)=45570, using protocol CPR with sample alias not collected This marine metagenome sample was collected during campaign CPR Brazil South Africa line on date/time 2022 07 10T20:15:30Z, at location 27.0964 S 37.249 W and depth (m)=45570, using protocol CPR with sample alias not collected marine metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA7918226	 This marine metagenome sample was collected during campaign Flagship MMA Topical Study Coccolithophore Bloom Ana Maria Gayoso on date/time 2021 12 21T12:53:00Z, at location 49.1875 S 64.0583 W and depth (m)=3/7, using protocol HC with sample pid SAMEA7918226 This marine metagenome sample was collected during campaign Flagship MMA Topical Study Coccolithophore Bloom Ana Maria Gayoso on date/time 2021 12 21T12:53:00Z, at location 49.1875 S 64.0583 W and depth (m)=3/7, using protocol HC with sample pid SAMEA7918226 marine metagenome   	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN30400113	 Keywords: GSC:MIxS MIMARKS:6.0 18SUE08 estuary metagenome water biome estuarine zone estuarine water	env_tax:marine;env_geo;env_geo:coastal;env_tax:brackish;env_tax;env_geo:marine
SAMEA6051040	Tara Pacific Expedition (2016 2018) TARA SAMPLE 20180615T1815Z OA000 I29 S02 F005 S WATER FISH SEQ FIN R01 TS 0005130 TARA SAMPLE 20180615T1815Z OA000 I29 S02 F005 S WATER FISH SEQ FIN R01 TS 0005130 marine metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA4035871	 F heteroclitus P1 foregut feces B 6 10308.Fh.P1.IFF.B.6 fish gut metagenome estuarine biome animal associated habitat excreta	env_tax:marine;env_geo;env_geo:coastal;env_tax:freshwater;env_tax:brackish;env_tax;env_geo:marine
SAMN10636602	 Marine bacterial communities from Monterey Bay, California, United States   itags 58 S Marine bacterial communities from Monterey Bay, California, United States   itags 58 S seawater metagenome   	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN45510802	 Keywords: GSC:MIxS MIMARKS:6.0 MIMARKS Survey related sample from marine plankton metagenome marine plankton metagenome marine biome [ENVO:00000447] marine layer [ENVO:01000295] sea water [ENVO:00002149]	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN45510738	 Keywords: GSC:MIxS MIMARKS:6.0 MIMARKS Survey related sample from marine plankton metagenome marine plankton metagenome marine biome [ENVO:00000447] marine layer [ENVO:01000295] sea water [ENVO:00002149]	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA120774091	PRJEB98069 This sample represents a MAG derived from the metagenomic sample ERS26956474 Metagenome assembled genome from human fecal sample Streptococcus parasanguinis human associated habitat fecal material fecal material	pathogen:bacterium;env_tax:marine;env_geo;pathogen;env_tax:terrestrial;env_tax;env_geo:marine
SAMEA5998448	Tara Pacific Expedition (2016 2018) TARA SAMPLE 20160720T1431Z OA000 I02 S01 C005 C CORAL HOLOB SEQ CS10 R01 CO 1000277 TARA SAMPLE 20160720T1431Z OA000 I02 S01 C005 C CORAL HOLOB SEQ CS10 R01 CO 1000277 marine metagenome   	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMEA7915884	 This marine metagenome sample was collected during campaign Flagship MMA Topical Study Amazon River Plume Sigrid Neumann Leitao on date/time 2021 09 03T12:06:00Z, at location 5.3412 N 51.2967 W and depth (m)=8/12, using protocol S320 with sample pid SAMEA7915884 This marine metagenome sample was collected during campaign Flagship MMA Topical Study Amazon River Plume Sigrid Neumann Leitao on date/time 2021 09 03T12:06:00Z, at location 5.3412 N 51.2967 W and depth (m)=8/12, using protocol S320 with sample pid SAMEA7915884 marine metagenome   	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN18291442	 Metagenome or environmental sample from estuary metagenome Metagenome or environmental sample from estuary metagenome estuary metagenome   	env_tax:marine;env_geo;env_tax:brackish;env_tax;env_geo:marine
SAMEA12514331	BLAX 000021 18541 tol 18541 tol Robbea hypermnestra   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN14792368	 Model organism or animal sample from Fundulus heteroclitus Model organism or animal sample from Fundulus heteroclitus Fundulus heteroclitus   	env_tax:marine;env_geo;env_tax:freshwater;env_tax:brackish;env_tax;env_geo:marine
SAMN19518420	 WMEA 02679 An M4 WMEA 02679 An M4 coral metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN08736212	 316 nM rep2 316 nM rep2 aquatic metagenome   	env_tax:marine;env_geo;env_tax:freshwater;env_tax:brackish;env_tax;env_geo:marine
SAMN40619836	 Metagenome or environmental sample from seawater metagenome Metagenome or environmental sample from seawater metagenome seawater metagenome   	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMEA6050585	Tara Pacific Expedition (2016 2018) TARA SAMPLE 20180614T1830Z OA000 I29 S01 C014 C CORAL HOLOB IMG CTAX R01 CO 1013075 TARA SAMPLE 20180614T1830Z OA000 I29 S01 C014 C CORAL HOLOB IMG CTAX R01 CO 1013075 marine metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA6026067	Tara Pacific Expedition (2016 2018) TARA SAMPLE 20170926T0330Z OA000 I21 S02 C053 C CORAL HOLOB IMG PHOTO R02 CO 3006076 TARA SAMPLE 20170926T0330Z OA000 I21 S02 C053 C CORAL HOLOB IMG PHOTO R02 CO 3006076 marine metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN27761035	 GSH04b Invertebrate sample from Pocillopora damicornis Pocillopora damicornis   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA120645706	16S rRNA characterization of coral reef fish skin microbiomes Skin swab taken from upper dorsal side of fish for 16S rRNA microbiome analyses Fish swab 16770 Johnrandallia nigrirostris aquatic marine biome tropical marine upwelling biome, coral reefs, Tropical Eastern Pacific, coral reef fishes seawater	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN03255529	 healthy coral microbiome MIMARKS Survey related sample from coral metagenome coral metagenome marine coral coral mucus	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN39743071	 Keywords: GSC:MIxS MIMARKS:6.0 MIMARKS Survey related sample from marine metagenome marine metagenome marine coastal water	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN46781197	 Keywords: GSC:MIxS MIMARKS:6.0 MIMARKS Survey related sample from marine metagenome marine metagenome marine biome (ENVO:00000447) natural harbour (ENVO:00000465) coastal seawater (ENVO:00002150)	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMEA13012838	Atlantic Ocean Microbiome Marine Epipelagic Size Fractioned 329 100 3 marine metagenome NADR Epi /Mesopelagic water	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN50094784	 24 03 CTD BOT 0.2 24 03 CTD BOT 0.2 marine plankton metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMD00900308	 Keywords: GSC:MIxS MIMS:6.0 Prokaryote partial 16S rRNA gene in Wakasa Bay  St07 50m 2018 Sep 28 >5um seawater metagenome marine biome|temperate marginal sea biome marine current environmental material	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA6102061	Geosphere Biosphere Interactions ERC Advanced Investigator Grant ABYSS (294757) to A. Boetius Bottom Water Sample from Central Mount PS101/149 1 CTD 751m seawater metagenome oceanic mesopelagic zone biome [ENVO:01000036] seamount [ENVO:00000264]| mid ocean ridge [ENVO:00000406] sea water [ENVO:00002149]	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN36436781	   coral reef metagenome Tropical South Pacific Island Coral Reef North shore fore reef 10 m depth Coral Tissue	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA112551682	Traversing European Coastlines (TREC) expedition This marine metagenome sample was collected during the Traversing European Coastlines (TREC) expedition on date/time 2023 08 01T06:12:00Z, at location 58.26010 N 11.43880 E, elevation (m)=0 and depth (m)=0 3, using protocol RBM3 with sample pid SAMEA112551682  marine metagenome marine biome [ENVO:00000447] surface water [ENVO:00002042] seawater [ENVO:01001964]	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN03342189	 Keywords: GSC:MIxS MIMARKS:5.0 IODP 331 Site C14B 2 10 hydrothermal vent metagenome marine hydrothermal system sediment	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN14433264	 Metagenome or environmental sample from marine metagenome Metagenome or environmental sample from marine metagenome marine metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN05856177	 Keywords: GSC:MIxS MIMARKS:5.0 MIMARKS Survey related sample from marine metagenome marine metagenome seawater marine habitat water	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN27591821	ASGARD2017 ASGARD2017 KL4 Survey 0.2um 2.75m seawater ASGARD2017 KL4 Survey 0.2um 2.75m seawater marine metagenome marine biome marine water body water	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA14452941	DTOL 761b2938 9f0e 4afd ae8c d5c326fce12b dtol 761b2938 9f0e 4afd ae8c d5c326fce12b dtol Hyas araneus   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA11171920	Biosynthetic potential of the global ocean microbiome metagenomic bin from biosample SAMN07137063 HOTS SAMN07137063 BIN 00000006 marine metagenome Ocean water Ocean water Ocean water	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA14099090	BBMO temporal series BBMO metagenome Blanes Bay 12 years metagenomes marine metagenome marine biome sea coast sea water	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA11110872	Biosynthetic potential of the global ocean microbiome metagenomic bin from biosample SAMN07137027 HOTS SAMN07137027 BIN 00000010 marine metagenome Ocean water Ocean water Ocean water	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA11164286	Biosynthetic potential of the global ocean microbiome metagenomic bin from biosample SAMN07137099 BATS SAMN07137099 BIN 00000010 marine metagenome Ocean water Ocean water Ocean water	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN39177407	 TAL 4 St 1 R2 TAL 4 St 1 R2 marine metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA8894194	USAM cold seep sequences 16S rRNA amplicon SW Seep C7 6 9cm 515F/926R cDNA n cold seep metagenome cold seep cold seep sediment	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMEA11187154	Biosynthetic potential of the global ocean microbiome metagenomic bin from biosample SAMN05421699 MALA SAMN05421699 BIN 00000003 marine metagenome Ocean water Ocean water Ocean water	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA11161706	Biosynthetic potential of the global ocean microbiome metagenomic bin from biosample SAMEA2620021 TARA SAMEA2620021 BIN 00000144 marine metagenome Ocean water Ocean water Ocean water	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN08391611	 C2P3W2 C2P3W2 seawater metagenome   	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN48988775	 Halichondria panicea, sample 62, month: June 2022 forward Invertebrate sample from Halichondria panicea Halichondria panicea   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN49172913	 Specimen of adult Eudistylia vancouveri (feather duster worm), FeatherDusterWorm02: CBPint0146, wsEudVanc1 Specimen of adult Eudistylia vancouveri (feather duster worm), FeatherDusterWorm02: CBPint0146, wsEudVanc1 Eudistylia vancouveri   	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN08953014	 Metagenome or environmental sample from marine metagenome Metagenome or environmental sample from marine metagenome marine metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine;datahub
SAMN18200497	 Metagenome or environmental sample from cold seep metagenome Metagenome or environmental sample from cold seep metagenome cold seep metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA120913124	ERGA a7a51085 a7f8 4107 b290 0c7c8e45ffd8 erga a7a51085 a7f8 4107 b290 0c7c8e45ffd8 erga Scomber scombrus   	env_tax:marine;env_geo;env_tax:brackish;env_tax;env_geo:marine
SAMN27681654	 marine sediment marine sediment marine sediment metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN20598475	 Keywords: GSC:MIxS MIGS:5.0 MIGS Eukaryotic sample from Sardinella lemuru Sardinella lemuru marine biome pelagic fishing grounds marine water	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN37360231	 Keywords: GSC:MIxS MIMARKS:6.0 MIMARKS Survey related sample from coral reef metagenome coral reef metagenome Coral reef coral Sea water	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN53801215	 Keywords: GSC:MIxS MIMARKS:6.0 MIMARKS Survey related sample from marine metagenome marine metagenome polar microbiome Coastal Antarctic marine water	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN23521185	 Keywords: GSC:MIxS MIMARKS:6.0 MIMARKS Survey related sample from marine sediment metagenome marine sediment metagenome Deep sea subsurface sediment Deep sea clay	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA11191434	Biosynthetic potential of the global ocean microbiome metagenomic bin from biosample SAMEA2622796 TARA SAMEA2622796 METAG COEGEANN marine metagenome Ocean water Ocean water Ocean water	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN08365921	 WGS Coryphaenoides rupestris WGS Coryphaenoides rupestris Coryphaenoides rupestris   	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMEA117761141	DTOL b2c29fdc 512c 4252 abb1 afd67446d0af dtol b2c29fdc 512c 4252 abb1 afd67446d0af dtol Chaetomorpha ligustica   	env_tax:marine;env_geo;env_geo:coastal;env_tax:freshwater;env_tax;env_geo:marine
SAMN25710832	 Keywords: GSC:MIxS MIMARKS:5.0 MIMARKS Survey related sample from marine metagenome marine metagenome Aquatic Water Column Marine Water	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN44463175	   Gadus morhua Marine Offshore 	env_tax:marine;env_geo;env_geo:coastal;env_tax:brackish;env_tax;env_geo:marine
SAMN13042222	 Bleaching chemicals from paper industry Core 6 R3 marine sediment metagenome   	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMEA120637582	PRJEB104083 FunAqua project, water sample, TUE014557 TUE014557 eukaryotic aquatic metagenome ENVO:00000447 ENVO:01001319 ENVO:00002010	env_tax:marine;env_geo;env_tax:freshwater;env_tax:brackish;env_tax;env_geo:marine
SAMN39407226	 Invertebrate sample from Pandalus borealis Invertebrate sample from Pandalus borealis Pandalus borealis   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA103889724	 DNA from surface swab of Ecklonia radiata macro algae 2229.W2.N23.ES4.Thomas.CMB.Seaweed.lane5.NoIndex.L005 algae metagenome marine biome kelp forest biofilm	env_tax:marine;env_geo;env_tax:freshwater;env_tax:brackish;env_tax;env_geo:marine
SAMEA6052313	Tara Pacific Expedition (2016 2018) TARA SAMPLE 20180702T0511Z OA000 I00 S00 C000 O ATM AEROSOLS SEQ AS R02 TS 0001596 TARA SAMPLE 20180702T0511Z OA000 I00 S00 C000 O ATM AEROSOLS SEQ AS R02 TS 0001596 marine metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN42419558	 Keywords: GSC:MIxS MIMS:6.0 MIMS Environmental/Metagenome sample from marine metagenome marine metagenome marine benthic biome [ENVO 01000024] sediment environment [ENVO:01001048] Shallow marine sediment [ENVO 03000034]	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN07482797	 Metagenome or environmental sample from marine metagenome Metagenome or environmental sample from marine metagenome marine metagenome   	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine;datahub
SAMN14574096	 Roche 454 Titanium Newport MICRO time series rpoC1 amplicons (yymmdd SampleReplicate SeqPlatform SeqRun) marine metagenome   	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMEA112493199	Traversing European Coastlines (TREC) expedition This marine metagenome sample was collected during the Traversing European Coastlines (TREC) expedition on date/time 2023 04 08T14:24:00Z, at location 48.71290 N 3.86395 W and depth (m)=0, using protocol S200 S with sample pid SAMEA112493199  marine metagenome marine biome [ENVO:00000447] surface water [ENVO:00002042] seawater [ENVO:01001964]	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMEA11190603	Biosynthetic potential of the global ocean microbiome metagenomic bin from biosample SAMN07137087 BATS SAMN07137087 BIN 00000008 marine metagenome Ocean water Ocean water Ocean water	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA112547941	Traversing European Coastlines (TREC) expedition This marine metagenome sample was collected during the Traversing European Coastlines (TREC) expedition on date/time 2024 04 11T05:45:00Z, at location 43.40230 N 6.74410 E and depth (m)=0, using protocol HG T with sample pid SAMEA112547941  marine metagenome marine biome [ENVO:00000447] surface water [ENVO:00002042] seawater [ENVO:01001964]	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA110184062	ASG 6b2f0721 e24f 4d86 b168 2d341a42d5f7 asg 6b2f0721 e24f 4d86 b168 2d341a42d5f7 asg Porites lutea   	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMEA113417107	ASG 3c0e0f30 8b11 4752 b9b4 a5a1f6562ef5 asg 3c0e0f30 8b11 4752 b9b4 a5a1f6562ef5 asg Bolinopsis sp. AMAMI   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN51433934	 Model organism or animal sample from Merluccius merluccius Model organism or animal sample from Merluccius merluccius Merluccius merluccius   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN12291312	 Metagenome or environmental sample from sponge metagenome Metagenome or environmental sample from sponge metagenome sponge metagenome   	env_tax:marine;env_geo;env_tax:freshwater;env_tax:brackish;env_tax;env_geo:marine
SAMN36716726	 CS 04 CS 04 Bagre marinus   	env_tax:marine;env_geo;env_tax:brackish;env_tax;env_geo:marine
SAMEA6004954	Tara Pacific Expedition (2016 2018) TARA SAMPLE 20161113T1753Z OA000 I08 S01 C024 C CORAL HOLOB SEQ CS10 R01 CO 1010225 TARA SAMPLE 20161113T1753Z OA000 I08 S01 C024 C CORAL HOLOB SEQ CS10 R01 CO 1010225 marine metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN53044813	 Keywords: GSC:MIxS MIMS:6.0 MIMS Environmental/Metagenome sample from seawater metagenome seawater metagenome ENVO:01000320 ENVO:00000486 ENVO:00002150	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN08327553	 CTD40.252.2 CTD40.252.2 marine metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN06343720	 Marine viral communities from the Subarctic Pacific Ocean   2 ETSP OMZ AT15125 metaG Marine viral communities from the Subarctic Pacific Ocean   2 ETSP OMZ AT15125 metaG marine metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN43567515	 Keywords: GSC:MIxS MIMARKS:6.0 WFOLR12021217 estuary metagenome estuarine biome Salt Marsh, Oyster Landing, R1 estuarine water	env_tax:marine;env_geo;env_geo:coastal;env_tax:brackish;env_tax;env_geo:marine
SAMN43988748	 Plant sample from Zostera marina Plant sample from Zostera marina Zostera marina   	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMEA11129508	Biosynthetic potential of the global ocean microbiome metagenomic bin from biosample SAMEA2620651 TARA SAMEA2620651 METAG BCBNOJOJ marine metagenome Ocean water Ocean water Ocean water	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN08712636	 Metagenome or environmental sample from seawater metagenome Metagenome or environmental sample from seawater metagenome seawater metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA11181189	Biosynthetic potential of the global ocean microbiome metagenomic bin from biosample SAMEA4397330 TARA SAMEA4397330 BIN 00000040 marine metagenome Ocean water Ocean water Ocean water	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN47579623	 Keywords: GSC:MIxS MIMARKS:6.0 MIMARKS Survey related sample from seawater metagenome seawater metagenome ENVO:01000035 ENVO:00000486 ENVO 00002150	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN41818911	 Untreated control MIMARKS Survey related sample from coral metagenome coral metagenome marine coral coral mucus and tissue	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA14452974	DTOL dbb8bfd2 680c 4208 8772 252c3e42dbb3 dtol dbb8bfd2 680c 4208 8772 252c3e42dbb3 dtol Turritellinella tricarinata   	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN41406137	 Pacific Grove Anthopleura sola tentacle Anthopleura sola   	env_tax:marine;env_geo;env_tax;env_geo:freshwater;env_geo:marine
SAMN37978209	 E87 23 5 amplicon E87 23 5 amplicon seawater metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN06131446	 Metagenome or environmental sample from marine plankton metagenome Metagenome or environmental sample from marine plankton metagenome marine plankton metagenome   	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMEA114407383	ASG d8952408 01a5 4d5b a97b 4f98a0727013 asg MAGScoT cleanbin 000061 d8952408 01a5 4d5b a97b 4f98a0727013 asg MAGScoT cleanbin 000061 uncultured Desulfuromusa sp. aquatic biome estuarine biome ciliate culture	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMEA8136595	FRAM Assessment of fixatives for long term preservation of microbial communities for sequencing 10w NS bac HgCl rep5 seawater metagenome temperate marginal sea biome [ENVO:01000856] microbial community [PCO:1000004] sea water [ENVO:00002149]	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN56471752	 21 Fine sand and bedrock Eukaryotic Biodiversity of Two Rocky Shores marine metagenome depositional environment intertidal zone marine water	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN53800768	 Keywords: GSC:MIxS MIMARKS:6.0 MIMARKS Survey related sample from marine metagenome marine metagenome polar microbiome Coastal Antarctic marine water	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA11161268	Biosynthetic potential of the global ocean microbiome metagenomic bin from biosample SAMEA4396424 TARA SAMEA4396424 METAG POGHPGNP marine metagenome Ocean water Ocean water Ocean water	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN06291428	 Keywords: GSC:MIxS MIMS:5.0 Marine metagenome Azores Host associated Spongia sp. marine metagenome Marine biome marine water organic material	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN46170502	 Keywords: GSC:MIxS MIMARKS:6.0 Lionfish RS fish metagenome Fish metagenome missing sea	env_tax:marine;env_geo;env_tax:freshwater;env_tax:brackish;env_tax;env_geo:marine
SAMEA9694388	Seawater was filtered from different depths to retain small cell sizes (Bacteria Organisms). The DNA was extracted and submitted to high throughput sequencing. This sample represents a Third Party Annotation (TPA) Metagenome Assembled Genome (MAG) assembled from the metagenomic run ERR598965 of study ERP001736. Metagenome assembled genome: ERR598965 bin.129 MetaBAT v2.12.1 MAG uncultured Oleispira sp. aquatic marine water	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMEA11158745	Biosynthetic potential of the global ocean microbiome metagenomic bin from biosample SAMN07136759 BGEO SAMN07136759 BIN 00000011 marine metagenome Ocean water Ocean water Ocean water	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN53799478	 Keywords: GSC:MIxS MIMARKS:6.0 MIMARKS Survey related sample from marine metagenome marine metagenome polar microbiome Coastal Antarctic marine water	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN14297655	 aggregate FK170124 Station3 particle marine metagenome marine biome [ENVO:00000447] marine pelagic zone [ENVO:00000208] marine snow [ENVO:01000158]	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN48671068	 Metagenome or environmental sample from phytoplankton metagenome Metagenome or environmental sample from phytoplankton metagenome phytoplankton metagenome   	env_tax:marine;env_geo;env_geo:coastal;env_tax:freshwater;env_tax:brackish;env_tax;env_geo:marine
SAMN32245850	 Metagenome or environmental sample from marine metagenome Metagenome or environmental sample from marine metagenome marine metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA113969511	 V10 CKI Metagenome or environmental sample from marine metagenome marine metagenome 13  	env_tax:marine;env_geo;env_tax;env_geo:marine
